months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
166,37,2000,1337.28,8000000,MALE,reading,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,missing,67140,Y
155,35,1000,1088.34,0,FEMALE,yachting,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,N
114,30,1000,1558.29,0,MALE,video-games,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,missing,77110,N
149,37,500,1415.68,0,MALE,yachting,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,0,1,YES,64800,N
147,33,1000,1334.15,6000000,MALE,reading,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,Y
62,28,1000,988.45,0,FEMALE,camping,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,missing,1,1,YES,60200,Y
289,49,2000,1222.48,0,FEMALE,golf,0,0,Parked Car,missing,Minor Damage,None,16,1,NO,1,1,YES,5330,N
431,54,2000,1155.55,0,FEMALE,bungie-jumping,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,missing,2,0,missing,62300,N
199,37,500,1262.08,0,MALE,video-games,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,missing,0,3,NO,60170,Y
79,26,500,1451.62,0,MALE,kayaking,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,missing,40000,N
116,34,500,1737.66,0,MALE,chess,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,missing,1,1,missing,97080,Y
37,23,500,1475.93,0,FEMALE,hiking,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,N
106,30,500,538.17,0,FEMALE,reading,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,2,2,NO,51120,N
269,44,2000,1081.08,0,MALE,reading,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,0,2,missing,56400,N
265,40,1000,1454.43,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,missing,55120,N
163,33,500,1240.47,0,FEMALE,polo,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,missing,77110,N
355,47,2000,1273.7,4000000,MALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,Y
175,34,1000,1123.87,8000000,FEMALE,dancing,0,0,Vehicle Theft,missing,Trivial Damage,Police,5,1,missing,2,0,YES,7290,N
192,35,1000,1245.89,0,FEMALE,movies,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,missing,76600,N
430,59,2000,1326.62,7000000,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,0,3,YES,81800,N
91,27,2000,1073.83,0,FEMALE,polo,0,0,Vehicle Theft,missing,Trivial Damage,None,4,1,missing,1,2,missing,7260,N
217,39,1000,1530.52,0,MALE,basketball,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,missing,2,1,YES,4300,N
223,40,500,1201.41,0,FEMALE,movies,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,missing,70510,N
195,39,1000,1393.57,0,MALE,movies,47600,-39600,Parked Car,missing,Minor Damage,Police,5,1,NO,0,1,YES,2640,N
22,26,1000,1276.57,0,MALE,skydiving,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,1,2,NO,78900,N
439,56,500,1082.49,0,FEMALE,chess,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,missing,2,3,missing,56430,N
94,32,1000,1414.74,0,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,19,1,NO,1,3,NO,2400,N
11,39,2000,1470.06,0,MALE,yachting,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,N
151,36,2000,870.63,0,FEMALE,kayaking,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,N
154,34,500,795.23,0,MALE,base-jumping,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,missing,69480,Y
245,44,1000,1168.2,0,MALE,basketball,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,N
119,32,1000,993.51,0,MALE,bungie-jumping,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,N
215,42,500,1848.81,0,MALE,video-games,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,Y
295,42,2000,1641.73,5000000,MALE,chess,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,Y
254,39,500,1362.87,0,FEMALE,chess,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,82320,Y
107,31,500,1239.22,7000000,FEMALE,paintball,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,Y
478,64,500,835.02,0,FEMALE,reading,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,N
128,30,1000,1061.33,0,MALE,movies,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,N
338,49,1000,1279.08,0,MALE,kayaking,0,-51500,Parked Car,missing,Minor Damage,None,13,1,NO,0,1,missing,4300,N
271,42,500,1105.49,0,FEMALE,sleeping,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,missing,2,3,missing,68310,Y
222,41,2000,1055.53,0,FEMALE,cross-fit,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,0,2,NO,61290,Y
199,41,1000,895.83,0,FEMALE,paintball,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,N
215,37,500,1632.93,0,FEMALE,golf,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,N
192,40,1000,1405.99,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,N
120,35,1000,1425.54,0,FEMALE,bungie-jumping,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,51210,N
270,45,1000,1038.09,0,FEMALE,golf,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,N
319,47,500,1307.11,0,MALE,dancing,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,NO,0,2,missing,59730,N
194,39,1000,1489.24,6000000,FEMALE,kayaking,0,-45000,Vehicle Theft,missing,Minor Damage,None,15,1,YES,2,2,YES,8060,N
227,38,500,976.67,0,FEMALE,polo,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,missing,1,2,missing,72200,Y
137,31,2000,1340.43,0,MALE,paintball,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,N
244,40,2000,1267.81,5000000,FEMALE,video-games,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,missing,2,1,missing,6600,N
78,29,1000,1234.2,6000000,MALE,bungie-jumping,0,0,Vehicle Theft,missing,Minor Damage,Police,3,1,YES,2,2,NO,7500,N
200,35,2000,1318.06,0,MALE,video-games,57300,-80600,Vehicle Theft,missing,Trivial Damage,None,13,1,NO,0,3,YES,6490,N
284,48,2000,769.95,0,MALE,movies,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,missing,2,3,NO,60940,Y
275,41,2000,1514.72,0,MALE,board-games,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,missing,58300,N
153,34,1000,873.64,4000000,FEMALE,yachting,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,NO,2,1,missing,68400,N
134,32,500,1612.43,0,FEMALE,yachting,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,missing,2,1,YES,64240,N
31,36,2000,1318.24,9000000,FEMALE,kayaking,0,-78600,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,YES,4700,N
41,25,1000,1226.83,0,FEMALE,exercise,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,missing,45120,Y
127,29,2000,1326.44,5000000,FEMALE,board-games,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,YES,1,1,missing,66950,N
61,23,2000,1136.83,4000000,FEMALE,exercise,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,missing,98340,Y
207,42,2000,1322.78,0,MALE,yachting,55200,0,Parked Car,missing,Trivial Damage,None,9,1,NO,0,1,NO,5900,N
219,43,1000,1483.25,0,FEMALE,exercise,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,missing,70680,N
271,42,500,1515.3,0,FEMALE,hiking,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,0,NO,93720,N
80,25,2000,1075.18,5000000,FEMALE,exercise,67700,-58400,Vehicle Theft,missing,Minor Damage,None,5,1,NO,2,0,YES,6930,N
325,47,1000,1690.27,0,FEMALE,hiking,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,YES,0,3,NO,72930,Y
29,25,2000,1352.83,0,MALE,skydiving,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890,Y
295,48,1000,1148.73,0,FEMALE,kayaking,0,0,Parked Car,missing,Trivial Damage,None,6,1,missing,1,2,YES,5400,N
239,42,1000,969.5,0,MALE,reading,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,NO,0,0,missing,5600,N
269,41,500,1463.82,0,FEMALE,yachting,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,YES,0,0,missing,79300,N
80,27,1000,1474.17,0,FEMALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,1,0,YES,52800,N
279,41,500,1497.35,0,FEMALE,bungie-jumping,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,missing,2,3,NO,28800,N
165,33,1000,1427.14,0,FEMALE,kayaking,35300,-58100,Parked Car,missing,Minor Damage,Police,3,1,NO,1,1,NO,2970,N
350,54,500,1495.1,0,MALE,basketball,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,NO,0,0,missing,93480,N
295,49,500,1141.62,0,MALE,kayaking,34300,-24300,Vehicle Theft,missing,Minor Damage,None,4,1,YES,1,3,YES,4320,N
464,61,1000,1125.37,0,FEMALE,basketball,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,missing,0,2,YES,79800,Y
118,28,2000,1207.36,0,FEMALE,camping,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,missing,74200,N
298,47,2000,1338.5,0,FEMALE,basketball,28800,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,missing,0,0,missing,70590,Y
87,31,1000,1074.07,0,FEMALE,chess,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,NO,0,3,YES,60940,Y
261,42,500,1337.56,0,FEMALE,video-games,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,missing,1,2,YES,74700,N
453,60,500,1298.91,6000000,MALE,dancing,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,0,0,missing,70000,Y
210,41,500,1222.75,0,MALE,polo,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,missing,2,0,NO,81070,N
168,32,1000,1059.52,0,MALE,camping,0,-40600,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,missing,1,1,missing,57720,N
390,51,2000,1124.38,0,MALE,reading,0,0,Vehicle Theft,missing,Minor Damage,None,9,1,YES,1,1,YES,7080,N
258,46,1000,1110.37,10000000,MALE,hiking,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,missing,47700,Y
107,31,2000,1374.22,0,FEMALE,bungie-jumping,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,3,NO,51260,N
225,41,2000,1103.58,0,MALE,exercise,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,missing,2,2,NO,70400,Y
164,38,2000,1269.76,0,FEMALE,yachting,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,1,3,YES,90000,N
245,39,500,964.79,8000000,FEMALE,camping,58000,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,missing,0,1,missing,72820,N
255,41,2000,1167.3,4000000,MALE,board-games,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,2,0,missing,69300,N
206,36,500,1625.45,4000000,FEMALE,video-games,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,Y
203,38,500,1394.43,0,FEMALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,missing,0,1,YES,55440,Y
22,25,2000,1053.24,0,FEMALE,movies,51100,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,YES,1,0,NO,77130,N
211,35,500,1040.75,0,FEMALE,paintball,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,missing,42000,N
206,39,1000,1302.4,6000000,MALE,dancing,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300,N
166,38,2000,1588.55,0,MALE,video-games,59600,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,0,missing,40320,N
165,32,500,1399.26,0,FEMALE,exercise,70500,0,Parked Car,missing,Minor Damage,Police,9,1,missing,2,0,missing,3960,N
274,43,2000,1352.31,0,MALE,basketball,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840,Y
81,28,1000,1139.0,6000000,FEMALE,sleeping,42400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,missing,1,2,missing,44730,Y
280,45,1000,1397.67,0,MALE,camping,57900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,YES,1,2,NO,84720,N
194,39,500,823.17,0,MALE,paintball,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,3,missing,2,2,NO,61500,N
112,27,500,965.13,0,FEMALE,exercise,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,missing,0,1,missing,51000,N
24,33,1000,1922.84,0,FEMALE,skydiving,0,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,missing,2,1,NO,46800,N
93,32,2000,1624.82,0,MALE,basketball,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,missing,1,1,missing,78120,N
171,34,2000,1277.25,0,FEMALE,yachting,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,missing,69200,Y
200,40,1000,1439.34,0,FEMALE,exercise,45300,-20400,Vehicle Theft,missing,Minor Damage,Police,9,1,missing,0,0,NO,3690,N
120,28,1000,1281.27,0,FEMALE,golf,68900,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,NO,0,3,missing,65500,N
325,46,500,1348.83,0,FEMALE,basketball,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,missing,1,2,YES,76120,N
124,32,1000,1198.15,0,FEMALE,hiking,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,N
211,35,2000,1221.22,0,MALE,camping,76000,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,YES,0,1,missing,52030,N
287,41,2000,968.74,0,MALE,video-games,0,-49000,Vehicle Theft,missing,Trivial Damage,None,9,1,missing,2,3,missing,5170,N
122,34,1000,1220.71,0,MALE,video-games,58600,-28700,Parked Car,missing,Minor Damage,None,5,1,missing,2,1,YES,8190,N
22,29,2000,1238.62,6000000,MALE,yachting,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,missing,2,3,missing,70800,Y
106,31,2000,1320.75,0,FEMALE,video-games,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,missing,0,3,YES,45630,N
398,58,500,990.98,0,FEMALE,cross-fit,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,YES,2,1,missing,99320,Y
214,41,500,1398.51,4000000,MALE,polo,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,missing,2,0,NO,64000,Y
209,38,500,1355.08,0,FEMALE,golf,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,missing,1,1,missing,47300,N
82,27,1000,1384.51,0,MALE,reading,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,NO,2,3,missing,71680,Y
193,41,500,847.03,0,FEMALE,skydiving,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,missing,1,0,YES,112320,Y
134,32,1000,1000.06,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,missing,1,0,missing,82720,N
288,45,1000,1046.71,0,MALE,polo,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,missing,2,1,missing,48060,N
104,32,500,1158.03,0,MALE,kayaking,31900,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,YES,1,3,YES,63570,Y
431,54,1000,1372.27,0,FEMALE,paintball,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,missing,63240,N
101,33,1000,1053.04,7000000,FEMALE,reading,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,NO,1,3,missing,54240,Y
375,50,1000,1275.39,0,MALE,bungie-jumping,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,YES,2,3,NO,37280,Y
461,61,2000,1402.75,0,MALE,exercise,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,missing,2,1,YES,72100,N
428,59,500,1344.36,7000000,FEMALE,hiking,0,0,Parked Car,missing,Minor Damage,None,8,1,missing,2,3,NO,6500,N
45,38,1000,1197.71,0,MALE,movies,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,missing,2,0,missing,78240,N
136,29,500,1203.24,0,FEMALE,video-games,62500,-66900,Vehicle Theft,missing,Minor Damage,Police,9,1,missing,2,0,missing,6200,N
216,36,1000,1152.4,0,FEMALE,reading,39600,-82400,Parked Car,missing,Minor Damage,Police,0,1,YES,2,3,missing,6160,N
278,48,2000,1142.62,7000000,FEMALE,dancing,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,missing,2,0,missing,76050,N
295,48,1000,1332.07,0,FEMALE,polo,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060,N
112,30,1000,1166.54,0,FEMALE,sleeping,47700,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,YES,2,0,NO,107900,Y
122,34,500,1495.06,0,FEMALE,polo,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990,N
108,29,1000,1337.92,0,FEMALE,bungie-jumping,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,N
14,28,2000,1587.96,0,FEMALE,board-games,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,missing,2,1,YES,71280,Y
298,45,1000,1362.29,0,MALE,yachting,0,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,64000,N
276,46,500,1448.84,0,FEMALE,bungie-jumping,0,-50000,Parked Car,missing,Trivial Damage,Police,7,1,missing,0,1,NO,5940,N
47,37,2000,1241.97,0,MALE,movies,75400,0,Parked Car,missing,Minor Damage,None,18,1,NO,1,0,NO,6700,N
222,42,500,1124.6,0,MALE,hiking,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,missing,51740,N
119,28,2000,1079.92,0,MALE,hiking,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,missing,0,1,YES,53600,Y
73,29,1000,1447.78,0,MALE,board-games,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,missing,44910,N
8,31,500,1229.16,4000000,FEMALE,kayaking,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,missing,0,2,YES,48100,N
294,44,1000,1226.49,0,FEMALE,kayaking,53900,0,Vehicle Theft,missing,Trivial Damage,None,3,1,NO,0,1,NO,6100,N
324,46,2000,897.89,6000000,MALE,board-games,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,missing,1,0,YES,79600,N
155,34,500,1706.79,0,MALE,dancing,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,NO,1,1,YES,77040,N
261,45,1000,1254.18,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,missing,62590,N
245,40,500,885.08,0,FEMALE,skydiving,27000,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,YES,0,1,NO,85150,N
235,39,500,1046.58,4000000,MALE,exercise,0,-31700,Vehicle Theft,missing,Trivial Damage,None,1,1,missing,2,1,NO,4950,N
53,36,2000,1712.68,0,MALE,basketball,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,missing,2,0,YES,51100,N
426,54,2000,1097.71,0,FEMALE,reading,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,missing,100800,N
111,27,500,1363.77,4000000,FEMALE,exercise,51100,0,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,2,3,NO,90970,N
