months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount
209,38,500,1191.5,0,MALE,reading,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,1,NO,2,0,missing,80100
184,38,1000,1437.53,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,missing,0,2,NO,53730
186,38,500,922.85,0,MALE,golf,70300,-70900,Vehicle Theft,missing,Trivial Damage,None,7,1,missing,1,1,YES,3600
185,35,2000,1421.59,0,MALE,sleeping,0,0,Vehicle Theft,missing,Trivial Damage,Police,8,1,missing,2,3,YES,4950
428,53,1000,1496.44,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,Police,9,1,YES,2,2,NO,6930
256,43,500,1203.17,0,FEMALE,golf,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,0,0,missing,63250
213,35,500,871.46,0,MALE,movies,58500,-77700,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,YES,2,0,YES,74140
27,33,500,1442.99,0,FEMALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700
230,42,1000,1023.11,0,FEMALE,golf,0,-45300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,13,3,NO,1,2,YES,58850
439,56,500,1082.49,0,FEMALE,chess,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,missing,2,3,missing,56430
241,43,1000,935.77,0,MALE,golf,0,-36000,Vehicle Theft,missing,Trivial Damage,Police,21,1,NO,1,0,YES,7150
274,45,1000,1353.53,0,FEMALE,cross-fit,54700,-47900,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,YES,0,0,NO,58500
103,27,1000,1537.33,0,FEMALE,board-games,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,YES,1,1,NO,77700
284,48,2000,769.95,0,MALE,movies,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,missing,2,3,NO,60940
377,53,500,1693.63,0,FEMALE,kayaking,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040
136,29,500,1203.24,0,FEMALE,video-games,62500,-66900,Vehicle Theft,missing,Minor Damage,Police,9,1,missing,2,0,missing,6200
223,43,500,1235.1,0,FEMALE,exercise,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400
206,39,1000,1302.4,6000000,MALE,dancing,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300
269,41,2000,1422.21,0,FEMALE,polo,0,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,21,1,YES,2,1,NO,85900
441,55,500,1270.29,4000000,MALE,exercise,24000,-50500,Parked Car,missing,Minor Damage,None,4,1,NO,0,0,NO,6400
245,42,1000,1575.74,7000000,MALE,chess,0,-68900,Parked Car,missing,Minor Damage,Police,19,1,missing,2,2,missing,6490
95,28,1000,773.99,0,MALE,board-games,0,-70300,Vehicle Theft,missing,Trivial Damage,None,3,1,YES,1,2,NO,3200
29,32,1000,1722.5,0,MALE,base-jumping,0,-21500,Single Vehicle Collision,Side Collision,Major Damage,Other,22,1,missing,0,2,missing,76900
136,33,1000,855.14,0,FEMALE,paintball,37900,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,YES,0,1,YES,30700
285,44,1000,1594.45,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680
219,39,2000,1281.07,7000000,FEMALE,board-games,0,0,Parked Car,missing,Trivial Damage,Police,6,1,NO,0,2,NO,5920
244,40,2000,1267.81,5000000,FEMALE,video-games,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,missing,2,1,missing,6600
66,28,2000,1472.77,0,MALE,exercise,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,missing,2,1,missing,48290
144,36,2000,1255.68,6000000,FEMALE,reading,23600,-15600,Parked Car,missing,Minor Damage,None,7,1,NO,0,0,missing,7400
415,52,1000,973.5,0,MALE,polo,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,2,YES,1,3,YES,51090
342,49,500,1722.95,0,MALE,base-jumping,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,missing,2,0,YES,76700
177,34,2000,1057.77,0,FEMALE,bungie-jumping,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,missing,1,1,NO,18000
222,39,1000,1232.72,0,MALE,hiking,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,missing,1,0,NO,87960
310,48,500,1516.34,0,FEMALE,sleeping,11000,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,4,YES,0,2,NO,59400
179,32,1000,1433.42,6000000,FEMALE,base-jumping,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,YES,1,2,NO,54200
69,26,2000,924.72,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120
430,59,2000,1326.62,7000000,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,0,3,YES,81800
122,33,500,1236.5,0,MALE,bungie-jumping,0,-48700,Parked Car,missing,Trivial Damage,None,1,1,NO,0,1,NO,5060
61,25,2000,988.06,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,YES,1,0,NO,32320
169,38,1000,1555.94,0,MALE,skydiving,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,NO,1,3,YES,79080
256,42,1000,1286.44,0,FEMALE,bungie-jumping,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,missing,75500
30,31,2000,1153.35,0,MALE,golf,0,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,2,1,YES,5760
362,50,500,1198.34,4000000,MALE,board-games,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,missing,1,1,NO,57060
479,60,1000,1188.45,0,FEMALE,camping,0,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,2,missing,0,3,missing,53900
17,39,1000,840.95,0,FEMALE,hiking,32500,-80800,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,1,missing,3440
435,60,500,1064.49,5000000,MALE,chess,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,NO,2,1,missing,62880
179,32,2000,1246.68,0,FEMALE,movies,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,missing,0,1,missing,53100
172,35,2000,1219.04,0,MALE,paintball,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,missing,2,0,NO,79750
80,28,1000,1740.57,0,FEMALE,golf,0,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,1,missing,0,1,missing,33480
234,41,500,951.56,0,FEMALE,video-games,59400,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,NO,2,1,missing,98280
270,45,500,1187.53,0,FEMALE,yachting,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,missing,0,0,YES,54340
472,64,500,989.24,0,MALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900
337,53,500,1205.86,0,MALE,basketball,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,1,YES,0,1,NO,86400
267,46,2000,1546.01,0,FEMALE,polo,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,NO,2,1,missing,77100
124,29,500,1301.72,0,MALE,golf,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,missing,0,3,YES,72000
289,46,2000,1209.07,0,MALE,chess,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,YES,0,1,YES,56430
121,31,1000,1140.91,0,MALE,paintball,51300,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,15,3,NO,1,2,missing,64300
230,43,2000,1101.83,0,MALE,cross-fit,28900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,missing,0,3,YES,51900
355,47,2000,1273.7,4000000,MALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800
220,42,1000,1281.72,0,MALE,hiking,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4,NO,0,2,YES,47740
106,28,2000,1609.11,0,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,YES,2,1,YES,5490
196,39,2000,1475.73,0,FEMALE,camping,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,missing,2,0,NO,60400
289,47,2000,1102.29,0,FEMALE,hiking,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,1,0,YES,54000
299,42,2000,1437.33,0,FEMALE,movies,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400
252,46,2000,1066.7,0,FEMALE,sleeping,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,22,3,NO,0,2,NO,89520
4,29,500,1381.88,5000000,MALE,exercise,0,-77800,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,4200
151,37,500,1366.42,0,FEMALE,cross-fit,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100
370,55,2000,1389.13,7000000,MALE,basketball,0,-53200,Vehicle Theft,missing,Minor Damage,None,6,1,missing,0,2,missing,9000
264,47,2000,1181.46,10000000,FEMALE,sleeping,0,-67400,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,YES,1,2,YES,62370
197,41,1000,1324.78,0,FEMALE,basketball,0,-64500,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,NO,2,2,YES,76400
175,34,500,915.29,0,FEMALE,base-jumping,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,missing,2,1,YES,36720
229,37,2000,1212.12,0,FEMALE,paintball,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,1,1,YES,68760
261,45,1000,1254.18,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,missing,62590
142,29,2000,1307.68,0,FEMALE,dancing,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,YES,1,2,NO,54360
154,34,500,795.23,0,MALE,base-jumping,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,missing,69480
253,41,2000,1312.75,0,FEMALE,dancing,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,2,2,YES,80740
215,35,1000,1125.4,0,MALE,yachting,40000,-43400,Vehicle Theft,missing,Trivial Damage,None,6,1,missing,2,1,NO,2640
48,44,2000,1400.74,0,MALE,base-jumping,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,0,2,missing,87300
214,40,1000,1648.0,0,MALE,base-jumping,57700,-43500,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,1,0,YES,44220
160,38,500,1733.56,0,MALE,sleeping,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,1,YES,66780
169,39,2000,1140.15,0,MALE,exercise,0,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,YES,0,3,NO,46200
118,28,2000,1207.36,0,FEMALE,camping,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,missing,74200
37,31,500,1969.63,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,21,3,NO,1,1,YES,76450
295,46,500,1672.88,0,FEMALE,dancing,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,YES,1,1,NO,60700
45,37,1000,1114.23,0,MALE,dancing,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,YES,0,1,YES,52200
239,42,1000,969.5,0,MALE,reading,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,NO,0,0,missing,5600
117,28,500,1264.77,0,FEMALE,yachting,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,missing,55440
126,28,500,1508.9,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,4,NO,0,1,missing,67800
146,36,2000,1233.96,0,FEMALE,golf,34500,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,NO,1,1,NO,55900
211,37,2000,1295.63,4000000,FEMALE,skydiving,42200,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,YES,1,0,missing,53460
284,48,500,958.3,0,FEMALE,exercise,47900,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,19,3,missing,0,0,missing,46860
254,41,2000,1241.04,0,FEMALE,board-games,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,NO,2,2,YES,100210
222,38,2000,1157.97,0,MALE,hiking,0,-64500,Single Vehicle Collision,Front Collision,Total Loss,Police,20,1,missing,2,2,YES,60480
426,54,2000,1097.71,0,FEMALE,reading,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,missing,100800
60,23,500,1215.36,3000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520
75,27,1000,1202.75,0,MALE,board-games,57900,-90100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,23,3,NO,0,2,YES,79560
275,41,2000,1514.72,0,MALE,board-games,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,missing,58300
142,30,2000,1616.58,0,MALE,polo,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,0,3,YES,63600
64,28,1000,1468.82,0,MALE,skydiving,56800,-51800,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9,3,NO,2,1,NO,60000
234,44,500,1780.67,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,NO,1,0,NO,70200
236,38,1000,802.24,0,FEMALE,paintball,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,NO,0,1,missing,66840
145,34,1000,1142.48,0,FEMALE,sleeping,0,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,18,1,YES,2,0,NO,52250
108,31,2000,1175.7,0,MALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,NO,0,2,NO,57330
171,34,2000,1277.25,0,FEMALE,yachting,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,missing,69200
25,38,1000,1540.91,7000000,MALE,polo,40900,0,Vehicle Theft,missing,Trivial Damage,None,0,1,NO,1,1,YES,4320
119,27,2000,1097.64,0,MALE,video-games,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,1,0,missing,63720
216,36,1000,1152.4,0,FEMALE,reading,39600,-82400,Parked Car,missing,Minor Damage,Police,0,1,YES,2,3,missing,6160
156,37,500,1080.13,0,MALE,reading,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490
80,27,500,795.31,0,MALE,skydiving,0,-51000,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,YES,1,3,missing,40810
285,41,1000,1436.79,0,FEMALE,sleeping,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,23,1,YES,2,3,missing,108480
362,55,1000,1097.99,0,FEMALE,base-jumping,44400,-71500,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,3,NO,0,3,NO,39690
141,30,1000,1347.04,0,MALE,bungie-jumping,0,-82100,Parked Car,missing,Minor Damage,None,6,1,missing,1,2,YES,6480
290,42,500,989.97,0,MALE,kayaking,32500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,0,1,NO,48000
41,33,500,1294.41,0,MALE,sleeping,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,0,0,missing,8970
48,35,500,1090.03,0,FEMALE,golf,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,YES,0,2,NO,48400
206,36,500,1625.45,4000000,FEMALE,video-games,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560
96,26,2000,1509.04,0,FEMALE,bungie-jumping,10000,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,9,1,YES,2,3,NO,78320
238,39,2000,1488.02,0,FEMALE,exercise,0,-39200,Vehicle Theft,missing,Minor Damage,Police,9,1,YES,1,3,YES,5500
70,26,1000,1199.44,5000000,MALE,hiking,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,missing,1,2,YES,52110
174,33,2000,1124.43,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,0,1,YES,44200
338,47,2000,1486.04,0,FEMALE,board-games,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,NO,2,3,missing,64100
66,26,1000,988.29,0,MALE,skydiving,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,missing,2,2,YES,57860
91,31,1000,1338.4,4000000,FEMALE,polo,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,missing,1,0,NO,60570
225,37,1000,1217.84,5000000,FEMALE,yachting,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,2,2,NO,57600
464,61,1000,1125.37,0,FEMALE,basketball,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,missing,0,2,YES,79800
265,45,500,972.5,0,FEMALE,cross-fit,0,0,Vehicle Theft,missing,Trivial Damage,None,3,1,NO,2,3,NO,3190
413,55,2000,1268.79,0,MALE,chess,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,missing,2,2,missing,98160
77,26,2000,785.82,0,MALE,movies,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,12,3,YES,2,0,missing,69080
338,49,1000,1279.08,0,MALE,kayaking,0,-51500,Parked Car,missing,Minor Damage,None,13,1,NO,0,1,missing,4300
1,33,2000,1391.63,0,MALE,video-games,61200,0,Single Vehicle Collision,Side Collision,Total Loss,Other,23,1,YES,0,3,NO,69400
32,29,500,1446.98,0,MALE,sleeping,0,-45700,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,3,YES,2,0,NO,57970
94,26,500,722.66,0,MALE,camping,50300,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,6,3,YES,1,2,YES,36700
239,38,1000,1276.73,5000000,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,NO,1,3,missing,61920
3,38,1000,1310.8,0,FEMALE,paintball,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,20,1,YES,0,1,missing,87200
290,45,500,1085.03,0,FEMALE,cross-fit,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,2,2,NO,64800
162,33,500,964.92,0,FEMALE,base-jumping,45700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,4,NO,2,1,NO,35300
322,49,2000,1277.12,0,FEMALE,kayaking,0,-46000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,missing,0,2,YES,42240
192,40,1000,1405.99,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930
328,46,500,1314.6,0,FEMALE,exercise,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,missing,2,3,missing,70290
316,45,2000,1290.74,5000000,FEMALE,kayaking,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,6,3,NO,2,0,YES,78870
394,57,500,1401.2,0,FEMALE,movies,51500,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,1,0,NO,6890
140,36,500,1363.59,0,FEMALE,kayaking,43200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,10,3,missing,2,0,YES,79500
261,42,500,1337.56,0,FEMALE,video-games,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,missing,1,2,YES,74700
