months_as_customer,age,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups
255,41,1167.3,4000000,MALE,board-games,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,2,0,missing,69300,1501-2000
45,31,1459.5,0,MALE,movies,0,0,Parked Car,missing,Minor Damage,None,6,1,missing,1,3,missing,6000,0-500
53,36,1712.68,0,MALE,basketball,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,missing,2,0,YES,51100,1501-2000
158,33,1327.41,0,FEMALE,skydiving,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,0,1,missing,0,0,missing,35000,1501-2000
256,41,1415.74,6000000,FEMALE,board-games,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,missing,1,2,NO,63400,1501-2000
73,26,1191.19,4000000,MALE,basketball,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,missing,0,1,YES,40160,1501-2000
211,40,1575.86,0,FEMALE,sleeping,0,0,Vehicle Theft,missing,Trivial Damage,Police,3,1,NO,1,1,NO,3190,501-1000
238,43,1524.45,4000000,MALE,chess,0,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,4,NO,0,0,NO,42700,501-1000
141,30,1851.78,0,FEMALE,exercise,78800,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,13,1,NO,1,0,YES,61740,501-1000
438,57,1119.29,0,FEMALE,chess,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,14,1,missing,0,0,NO,40700,0-500
356,54,912.3,0,MALE,yachting,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,23,3,NO,2,1,missing,68750,0-500
137,35,1667.83,0,MALE,paintball,48500,-67400,Parked Car,missing,Minor Damage,Police,4,1,YES,1,1,NO,6600,0-500
360,51,1526.61,0,MALE,chess,0,-32900,Vehicle Theft,missing,Minor Damage,Police,5,1,YES,2,2,missing,4620,501-1000
101,27,433.33,0,MALE,golf,25900,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,3,NO,5900,501-1000
101,32,895.14,0,MALE,video-games,52600,-30400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,4,1,missing,0,3,YES,43600,0-500
134,29,1413.14,5000000,FEMALE,board-games,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,1501-2000
240,40,1533.71,9000000,FEMALE,polo,0,-70900,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,2,YES,0,2,missing,66550,0-500
404,56,1361.16,4000000,FEMALE,cross-fit,0,-63700,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,23,1,NO,2,0,YES,53100,501-1000
299,44,1653.32,0,FEMALE,bungie-jumping,0,-48800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,3,1,YES,2,0,missing,54240,501-1000
260,46,1482.57,0,MALE,reading,35000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,7,1,NO,0,1,NO,64080,1501-2000
292,44,1097.57,0,MALE,basketball,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,12,1,NO,1,0,YES,61700,0-500
169,37,936.19,0,MALE,movies,70600,-48500,Multi-vehicle Collision,Side Collision,Total Loss,Police,4,3,missing,2,1,YES,57900,501-1000
215,37,1632.93,0,FEMALE,golf,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,0-500
225,41,1103.58,0,MALE,exercise,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,missing,2,2,NO,70400,1501-2000
147,31,1054.92,6000000,FEMALE,exercise,51900,0,Single Vehicle Collision,Front Collision,Major Damage,Other,4,1,missing,0,0,missing,68240,0-500
254,46,1472.43,0,MALE,basketball,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,1,3,YES,63580,1501-2000
453,60,1298.91,6000000,MALE,dancing,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,0,0,missing,70000,0-500
209,38,1191.5,0,MALE,reading,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,1,NO,2,0,missing,80100,0-500
184,38,1437.53,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,missing,0,2,NO,53730,501-1000
186,38,922.85,0,MALE,golf,70300,-70900,Vehicle Theft,missing,Trivial Damage,None,7,1,missing,1,1,YES,3600,0-500
185,35,1421.59,0,MALE,sleeping,0,0,Vehicle Theft,missing,Trivial Damage,Police,8,1,missing,2,3,YES,4950,1501-2000
428,53,1496.44,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,Police,9,1,YES,2,2,NO,6930,501-1000
256,43,1203.17,0,FEMALE,golf,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,0,0,missing,63250,0-500
213,35,871.46,0,MALE,movies,58500,-77700,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,YES,2,0,YES,74140,0-500
27,33,1442.99,0,FEMALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,0-500
230,42,1023.11,0,FEMALE,golf,0,-45300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,13,3,NO,1,2,YES,58850,501-1000
439,56,1082.49,0,FEMALE,chess,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,missing,2,3,missing,56430,0-500
241,43,935.77,0,MALE,golf,0,-36000,Vehicle Theft,missing,Trivial Damage,Police,21,1,NO,1,0,YES,7150,501-1000
274,45,1353.53,0,FEMALE,cross-fit,54700,-47900,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,YES,0,0,NO,58500,501-1000
103,27,1537.33,0,FEMALE,board-games,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,YES,1,1,NO,77700,501-1000
284,48,769.95,0,MALE,movies,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,missing,2,3,NO,60940,1501-2000
377,53,1693.63,0,FEMALE,kayaking,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,0-500
136,29,1203.24,0,FEMALE,video-games,62500,-66900,Vehicle Theft,missing,Minor Damage,Police,9,1,missing,2,0,missing,6200,0-500
223,43,1235.1,0,FEMALE,exercise,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,0-500
206,39,1302.4,6000000,MALE,dancing,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300,501-1000
269,41,1422.21,0,FEMALE,polo,0,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,21,1,YES,2,1,NO,85900,1501-2000
441,55,1270.29,4000000,MALE,exercise,24000,-50500,Parked Car,missing,Minor Damage,None,4,1,NO,0,0,NO,6400,0-500
245,42,1575.74,7000000,MALE,chess,0,-68900,Parked Car,missing,Minor Damage,Police,19,1,missing,2,2,missing,6490,501-1000
95,28,773.99,0,MALE,board-games,0,-70300,Vehicle Theft,missing,Trivial Damage,None,3,1,YES,1,2,NO,3200,501-1000
29,32,1722.5,0,MALE,base-jumping,0,-21500,Single Vehicle Collision,Side Collision,Major Damage,Other,22,1,missing,0,2,missing,76900,501-1000
136,33,855.14,0,FEMALE,paintball,37900,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,YES,0,1,YES,30700,501-1000
285,44,1594.45,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,501-1000
219,39,1281.07,7000000,FEMALE,board-games,0,0,Parked Car,missing,Trivial Damage,Police,6,1,NO,0,2,NO,5920,1501-2000
244,40,1267.81,5000000,FEMALE,video-games,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,missing,2,1,missing,6600,1501-2000
66,28,1472.77,0,MALE,exercise,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,missing,2,1,missing,48290,1501-2000
144,36,1255.68,6000000,FEMALE,reading,23600,-15600,Parked Car,missing,Minor Damage,None,7,1,NO,0,0,missing,7400,1501-2000
415,52,973.5,0,MALE,polo,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,2,YES,1,3,YES,51090,501-1000
342,49,1722.95,0,MALE,base-jumping,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,missing,2,0,YES,76700,0-500
177,34,1057.77,0,FEMALE,bungie-jumping,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,missing,1,1,NO,18000,1501-2000
222,39,1232.72,0,MALE,hiking,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,missing,1,0,NO,87960,501-1000
310,48,1516.34,0,FEMALE,sleeping,11000,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,4,YES,0,2,NO,59400,0-500
179,32,1433.42,6000000,FEMALE,base-jumping,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,YES,1,2,NO,54200,501-1000
69,26,924.72,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,1501-2000
430,59,1326.62,7000000,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,0,3,YES,81800,1501-2000
122,33,1236.5,0,MALE,bungie-jumping,0,-48700,Parked Car,missing,Trivial Damage,None,1,1,NO,0,1,NO,5060,0-500
61,25,988.06,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,YES,1,0,NO,32320,1501-2000
169,38,1555.94,0,MALE,skydiving,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,NO,1,3,YES,79080,501-1000
256,42,1286.44,0,FEMALE,bungie-jumping,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,missing,75500,501-1000
30,31,1153.35,0,MALE,golf,0,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,2,1,YES,5760,1501-2000
362,50,1198.34,4000000,MALE,board-games,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,missing,1,1,NO,57060,0-500
479,60,1188.45,0,FEMALE,camping,0,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,2,missing,0,3,missing,53900,501-1000
17,39,840.95,0,FEMALE,hiking,32500,-80800,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,1,missing,3440,501-1000
435,60,1064.49,5000000,MALE,chess,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,NO,2,1,missing,62880,0-500
179,32,1246.68,0,FEMALE,movies,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,missing,0,1,missing,53100,1501-2000
172,35,1219.04,0,MALE,paintball,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,missing,2,0,NO,79750,1501-2000
80,28,1740.57,0,FEMALE,golf,0,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,1,missing,0,1,missing,33480,501-1000
234,41,951.56,0,FEMALE,video-games,59400,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,NO,2,1,missing,98280,0-500
270,45,1187.53,0,FEMALE,yachting,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,missing,0,0,YES,54340,0-500
472,64,989.24,0,MALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900,0-500
337,53,1205.86,0,MALE,basketball,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,1,YES,0,1,NO,86400,0-500
267,46,1546.01,0,FEMALE,polo,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,NO,2,1,missing,77100,1501-2000
124,29,1301.72,0,MALE,golf,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,missing,0,3,YES,72000,0-500
289,46,1209.07,0,MALE,chess,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,YES,0,1,YES,56430,1501-2000
121,31,1140.91,0,MALE,paintball,51300,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,15,3,NO,1,2,missing,64300,501-1000
230,43,1101.83,0,MALE,cross-fit,28900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,missing,0,3,YES,51900,1501-2000
355,47,1273.7,4000000,MALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,1501-2000
220,42,1281.72,0,MALE,hiking,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4,NO,0,2,YES,47740,501-1000
106,28,1609.11,0,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,YES,2,1,YES,5490,1501-2000
196,39,1475.73,0,FEMALE,camping,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,missing,2,0,NO,60400,1501-2000
289,47,1102.29,0,FEMALE,hiking,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,1,0,YES,54000,1501-2000
299,42,1437.33,0,FEMALE,movies,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,1501-2000
252,46,1066.7,0,FEMALE,sleeping,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,22,3,NO,0,2,NO,89520,1501-2000
4,29,1381.88,5000000,MALE,exercise,0,-77800,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,4200,0-500
151,37,1366.42,0,FEMALE,cross-fit,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,0-500
370,55,1389.13,7000000,MALE,basketball,0,-53200,Vehicle Theft,missing,Minor Damage,None,6,1,missing,0,2,missing,9000,1501-2000
264,47,1181.46,10000000,FEMALE,sleeping,0,-67400,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,YES,1,2,YES,62370,1501-2000
197,41,1324.78,0,FEMALE,basketball,0,-64500,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,NO,2,2,YES,76400,501-1000
175,34,915.29,0,FEMALE,base-jumping,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,missing,2,1,YES,36720,0-500
229,37,1212.12,0,FEMALE,paintball,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,1,1,YES,68760,1501-2000
261,45,1254.18,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,missing,62590,501-1000
142,29,1307.68,0,FEMALE,dancing,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,YES,1,2,NO,54360,1501-2000
154,34,795.23,0,MALE,base-jumping,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,missing,69480,0-500
253,41,1312.75,0,FEMALE,dancing,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,2,2,YES,80740,1501-2000
215,35,1125.4,0,MALE,yachting,40000,-43400,Vehicle Theft,missing,Trivial Damage,None,6,1,missing,2,1,NO,2640,501-1000
48,44,1400.74,0,MALE,base-jumping,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,0,2,missing,87300,1501-2000
214,40,1648.0,0,MALE,base-jumping,57700,-43500,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,1,0,YES,44220,501-1000
160,38,1733.56,0,MALE,sleeping,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,1,YES,66780,0-500
169,39,1140.15,0,MALE,exercise,0,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,YES,0,3,NO,46200,1501-2000
118,28,1207.36,0,FEMALE,camping,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,missing,74200,1501-2000
37,31,1969.63,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,21,3,NO,1,1,YES,76450,0-500
295,46,1672.88,0,FEMALE,dancing,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,YES,1,1,NO,60700,0-500
45,37,1114.23,0,MALE,dancing,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,YES,0,1,YES,52200,501-1000
239,42,969.5,0,MALE,reading,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,NO,0,0,missing,5600,501-1000
117,28,1264.77,0,FEMALE,yachting,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,missing,55440,0-500
126,28,1508.9,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,4,NO,0,1,missing,67800,0-500
146,36,1233.96,0,FEMALE,golf,34500,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,NO,1,1,NO,55900,1501-2000
211,37,1295.63,4000000,FEMALE,skydiving,42200,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,YES,1,0,missing,53460,1501-2000
284,48,958.3,0,FEMALE,exercise,47900,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,19,3,missing,0,0,missing,46860,0-500
254,41,1241.04,0,FEMALE,board-games,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,NO,2,2,YES,100210,1501-2000
222,38,1157.97,0,MALE,hiking,0,-64500,Single Vehicle Collision,Front Collision,Total Loss,Police,20,1,missing,2,2,YES,60480,1501-2000
426,54,1097.71,0,FEMALE,reading,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,missing,100800,1501-2000
60,23,1215.36,3000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,0-500
75,27,1202.75,0,MALE,board-games,57900,-90100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,23,3,NO,0,2,YES,79560,501-1000
275,41,1514.72,0,MALE,board-games,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,missing,58300,1501-2000
142,30,1616.58,0,MALE,polo,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,0,3,YES,63600,1501-2000
64,28,1468.82,0,MALE,skydiving,56800,-51800,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9,3,NO,2,1,NO,60000,501-1000
234,44,1780.67,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,NO,1,0,NO,70200,0-500
236,38,802.24,0,FEMALE,paintball,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,NO,0,1,missing,66840,501-1000
145,34,1142.48,0,FEMALE,sleeping,0,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,18,1,YES,2,0,NO,52250,501-1000
108,31,1175.7,0,MALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,NO,0,2,NO,57330,1501-2000
171,34,1277.25,0,FEMALE,yachting,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,missing,69200,1501-2000
25,38,1540.91,7000000,MALE,polo,40900,0,Vehicle Theft,missing,Trivial Damage,None,0,1,NO,1,1,YES,4320,501-1000
119,27,1097.64,0,MALE,video-games,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,1,0,missing,63720,1501-2000
216,36,1152.4,0,FEMALE,reading,39600,-82400,Parked Car,missing,Minor Damage,Police,0,1,YES,2,3,missing,6160,501-1000
156,37,1080.13,0,MALE,reading,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,0-500
80,27,795.31,0,MALE,skydiving,0,-51000,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,YES,1,3,missing,40810,0-500
285,41,1436.79,0,FEMALE,sleeping,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,23,1,YES,2,3,missing,108480,501-1000
362,55,1097.99,0,FEMALE,base-jumping,44400,-71500,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,3,NO,0,3,NO,39690,501-1000
141,30,1347.04,0,MALE,bungie-jumping,0,-82100,Parked Car,missing,Minor Damage,None,6,1,missing,1,2,YES,6480,501-1000
290,42,989.97,0,MALE,kayaking,32500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,0,1,NO,48000,0-500
41,33,1294.41,0,MALE,sleeping,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,0,0,missing,8970,0-500
48,35,1090.03,0,FEMALE,golf,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,YES,0,2,NO,48400,0-500
206,36,1625.45,4000000,FEMALE,video-games,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,0-500
96,26,1509.04,0,FEMALE,bungie-jumping,10000,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,9,1,YES,2,3,NO,78320,1501-2000
238,39,1488.02,0,FEMALE,exercise,0,-39200,Vehicle Theft,missing,Minor Damage,Police,9,1,YES,1,3,YES,5500,1501-2000
70,26,1199.44,5000000,MALE,hiking,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,missing,1,2,YES,52110,501-1000
174,33,1124.43,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,0,1,YES,44200,1501-2000
338,47,1486.04,0,FEMALE,board-games,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,NO,2,3,missing,64100,1501-2000
66,26,988.29,0,MALE,skydiving,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,missing,2,2,YES,57860,501-1000
91,31,1338.4,4000000,FEMALE,polo,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,missing,1,0,NO,60570,501-1000
225,37,1217.84,5000000,FEMALE,yachting,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,2,2,NO,57600,501-1000
464,61,1125.37,0,FEMALE,basketball,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,missing,0,2,YES,79800,501-1000
265,45,972.5,0,FEMALE,cross-fit,0,0,Vehicle Theft,missing,Trivial Damage,None,3,1,NO,2,3,NO,3190,0-500
413,55,1268.79,0,MALE,chess,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,missing,2,2,missing,98160,1501-2000
77,26,785.82,0,MALE,movies,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,12,3,YES,2,0,missing,69080,1501-2000
338,49,1279.08,0,MALE,kayaking,0,-51500,Parked Car,missing,Minor Damage,None,13,1,NO,0,1,missing,4300,501-1000
1,33,1391.63,0,MALE,video-games,61200,0,Single Vehicle Collision,Side Collision,Total Loss,Other,23,1,YES,0,3,NO,69400,1501-2000
32,29,1446.98,0,MALE,sleeping,0,-45700,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,3,YES,2,0,NO,57970,0-500
94,26,722.66,0,MALE,camping,50300,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,6,3,YES,1,2,YES,36700,0-500
239,38,1276.73,5000000,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,NO,1,3,missing,61920,501-1000
3,38,1310.8,0,FEMALE,paintball,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,20,1,YES,0,1,missing,87200,501-1000
290,45,1085.03,0,FEMALE,cross-fit,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,2,2,NO,64800,0-500
162,33,964.92,0,FEMALE,base-jumping,45700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,4,NO,2,1,NO,35300,0-500
322,49,1277.12,0,FEMALE,kayaking,0,-46000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,missing,0,2,YES,42240,1501-2000
