months_as_customer,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups,age_groups,policy_annual_premium_groups
356,0,MALE,yachting,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,23,3,NO,2,1,missing,68750,0-500,51-55,low
137,0,MALE,paintball,48500,-67400,Parked Car,missing,Minor Damage,Police,4,1,YES,1,1,NO,6600,0-500,31-35,high
360,0,MALE,chess,0,-32900,Vehicle Theft,missing,Minor Damage,Police,5,1,YES,2,2,missing,4620,501-1000,51-55,high
101,0,MALE,golf,25900,0,Parked Car,missing,Minor Damage,None,7,1,missing,0,3,NO,5900,501-1000,26-30,very low
101,0,MALE,video-games,52600,-30400,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,4,1,missing,0,3,YES,43600,0-500,31-35,low
134,5000000,FEMALE,board-games,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,1501-2000,26-30,medium
240,9000000,FEMALE,polo,0,-70900,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,2,YES,0,2,missing,66550,0-500,36-40,high
404,4000000,FEMALE,cross-fit,0,-63700,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,23,1,NO,2,0,YES,53100,501-1000,56-60,medium
299,0,FEMALE,bungie-jumping,0,-48800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,3,1,YES,2,0,missing,54240,501-1000,41-45,high
260,0,MALE,reading,35000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,7,1,NO,0,1,NO,64080,1501-2000,46-50,medium
292,0,MALE,basketball,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,12,1,NO,1,0,YES,61700,0-500,41-45,medium
169,0,MALE,movies,70600,-48500,Multi-vehicle Collision,Side Collision,Total Loss,Police,4,3,missing,2,1,YES,57900,501-1000,36-40,low
215,0,FEMALE,golf,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,0-500,36-40,high
225,0,MALE,exercise,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,missing,2,2,NO,70400,1501-2000,41-45,medium
147,6000000,FEMALE,exercise,51900,0,Single Vehicle Collision,Front Collision,Major Damage,Other,4,1,missing,0,0,missing,68240,0-500,31-35,medium
254,0,MALE,basketball,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,1,3,YES,63580,1501-2000,46-50,medium
453,6000000,MALE,dancing,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,0,0,missing,70000,0-500,56-60,medium
209,0,MALE,reading,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,1,NO,2,0,missing,80100,0-500,36-40,medium
184,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,missing,0,2,NO,53730,501-1000,36-40,medium
186,0,MALE,golf,70300,-70900,Vehicle Theft,missing,Trivial Damage,None,7,1,missing,1,1,YES,3600,0-500,36-40,low
185,0,MALE,sleeping,0,0,Vehicle Theft,missing,Trivial Damage,Police,8,1,missing,2,3,YES,4950,1501-2000,31-35,medium
428,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,Police,9,1,YES,2,2,NO,6930,501-1000,51-55,medium
256,0,FEMALE,golf,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,0,0,missing,63250,0-500,41-45,medium
213,0,MALE,movies,58500,-77700,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,YES,2,0,YES,74140,0-500,31-35,low
27,0,FEMALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,0-500,31-35,medium
230,0,FEMALE,golf,0,-45300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,13,3,NO,1,2,YES,58850,501-1000,41-45,medium
439,0,FEMALE,chess,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,missing,2,3,missing,56430,0-500,56-60,medium
241,0,MALE,golf,0,-36000,Vehicle Theft,missing,Trivial Damage,Police,21,1,NO,1,0,YES,7150,501-1000,41-45,low
274,0,FEMALE,cross-fit,54700,-47900,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,YES,0,0,NO,58500,501-1000,41-45,medium
103,0,FEMALE,board-games,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,YES,1,1,NO,77700,501-1000,26-30,high
284,0,MALE,movies,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,missing,2,3,NO,60940,1501-2000,46-50,low
377,0,FEMALE,kayaking,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,0-500,51-55,high
136,0,FEMALE,video-games,62500,-66900,Vehicle Theft,missing,Minor Damage,Police,9,1,missing,2,0,missing,6200,0-500,26-30,medium
223,0,FEMALE,exercise,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,0-500,41-45,medium
206,6000000,MALE,dancing,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300,501-1000,36-40,medium
269,0,FEMALE,polo,0,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,21,1,YES,2,1,NO,85900,1501-2000,41-45,medium
441,4000000,MALE,exercise,24000,-50500,Parked Car,missing,Minor Damage,None,4,1,NO,0,0,NO,6400,0-500,51-55,medium
245,7000000,MALE,chess,0,-68900,Parked Car,missing,Minor Damage,Police,19,1,missing,2,2,missing,6490,501-1000,41-45,high
95,0,MALE,board-games,0,-70300,Vehicle Theft,missing,Trivial Damage,None,3,1,YES,1,2,NO,3200,501-1000,26-30,low
29,0,MALE,base-jumping,0,-21500,Single Vehicle Collision,Side Collision,Major Damage,Other,22,1,missing,0,2,missing,76900,501-1000,31-35,high
136,0,FEMALE,paintball,37900,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,YES,0,1,YES,30700,501-1000,31-35,low
285,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,501-1000,41-45,high
219,7000000,FEMALE,board-games,0,0,Parked Car,missing,Trivial Damage,Police,6,1,NO,0,2,NO,5920,1501-2000,36-40,medium
244,5000000,FEMALE,video-games,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,missing,2,1,missing,6600,1501-2000,36-40,medium
66,0,MALE,exercise,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,missing,2,1,missing,48290,1501-2000,26-30,medium
144,6000000,FEMALE,reading,23600,-15600,Parked Car,missing,Minor Damage,None,7,1,NO,0,0,missing,7400,1501-2000,36-40,medium
415,0,MALE,polo,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,2,YES,1,3,YES,51090,501-1000,51-55,low
342,0,MALE,base-jumping,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,missing,2,0,YES,76700,0-500,46-50,high
177,0,FEMALE,bungie-jumping,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,missing,1,1,NO,18000,1501-2000,31-35,medium
222,0,MALE,hiking,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,missing,1,0,NO,87960,501-1000,36-40,medium
310,0,FEMALE,sleeping,11000,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,4,YES,0,2,NO,59400,0-500,46-50,high
179,6000000,FEMALE,base-jumping,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,YES,1,2,NO,54200,501-1000,31-35,medium
69,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,1501-2000,26-30,low
430,7000000,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,0,3,YES,81800,1501-2000,56-60,medium
122,0,MALE,bungie-jumping,0,-48700,Parked Car,missing,Trivial Damage,None,1,1,NO,0,1,NO,5060,0-500,31-35,medium
61,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,YES,1,0,NO,32320,1501-2000,21-25,low
169,0,MALE,skydiving,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,NO,1,3,YES,79080,501-1000,36-40,high
256,0,FEMALE,bungie-jumping,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,missing,75500,501-1000,41-45,medium
30,0,MALE,golf,0,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,2,1,YES,5760,1501-2000,31-35,medium
362,4000000,MALE,board-games,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,missing,1,1,NO,57060,0-500,46-50,medium
479,0,FEMALE,camping,0,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,2,missing,0,3,missing,53900,501-1000,56-60,medium
17,0,FEMALE,hiking,32500,-80800,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,1,missing,3440,501-1000,36-40,low
435,5000000,MALE,chess,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,NO,2,1,missing,62880,0-500,56-60,medium
179,0,FEMALE,movies,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,missing,0,1,missing,53100,1501-2000,31-35,medium
172,0,MALE,paintball,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,missing,2,0,NO,79750,1501-2000,31-35,medium
80,0,FEMALE,golf,0,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,1,missing,0,1,missing,33480,501-1000,26-30,high
234,0,FEMALE,video-games,59400,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,NO,2,1,missing,98280,0-500,41-45,low
270,0,FEMALE,yachting,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,missing,0,0,YES,54340,0-500,41-45,medium
472,0,MALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900,0-500,61-65,low
337,0,MALE,basketball,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,1,YES,0,1,NO,86400,0-500,51-55,medium
267,0,FEMALE,polo,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,NO,2,1,missing,77100,1501-2000,46-50,high
124,0,MALE,golf,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,missing,0,3,YES,72000,0-500,26-30,medium
289,0,MALE,chess,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,YES,0,1,YES,56430,1501-2000,46-50,medium
121,0,MALE,paintball,51300,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,15,3,NO,1,2,missing,64300,501-1000,31-35,medium
230,0,MALE,cross-fit,28900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,missing,0,3,YES,51900,1501-2000,41-45,medium
355,4000000,MALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,1501-2000,46-50,medium
220,0,MALE,hiking,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4,NO,0,2,YES,47740,501-1000,41-45,medium
106,0,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,YES,2,1,YES,5490,1501-2000,26-30,high
196,0,FEMALE,camping,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,missing,2,0,NO,60400,1501-2000,36-40,medium
289,0,FEMALE,hiking,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,1,0,YES,54000,1501-2000,46-50,medium
299,0,FEMALE,movies,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,1501-2000,41-45,medium
252,0,FEMALE,sleeping,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,22,3,NO,0,2,NO,89520,1501-2000,46-50,medium
4,5000000,MALE,exercise,0,-77800,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,4200,0-500,26-30,medium
151,0,FEMALE,cross-fit,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,0-500,36-40,medium
370,7000000,MALE,basketball,0,-53200,Vehicle Theft,missing,Minor Damage,None,6,1,missing,0,2,missing,9000,1501-2000,51-55,medium
264,10000000,FEMALE,sleeping,0,-67400,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,YES,1,2,YES,62370,1501-2000,46-50,medium
197,0,FEMALE,basketball,0,-64500,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,NO,2,2,YES,76400,501-1000,41-45,medium
175,0,FEMALE,base-jumping,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,missing,2,1,YES,36720,0-500,31-35,low
229,0,FEMALE,paintball,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,1,1,YES,68760,1501-2000,36-40,medium
261,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,missing,62590,501-1000,41-45,medium
142,0,FEMALE,dancing,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,YES,1,2,NO,54360,1501-2000,26-30,medium
154,0,MALE,base-jumping,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,missing,69480,0-500,31-35,low
253,0,FEMALE,dancing,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,2,2,YES,80740,1501-2000,41-45,medium
215,0,MALE,yachting,40000,-43400,Vehicle Theft,missing,Trivial Damage,None,6,1,missing,2,1,NO,2640,501-1000,31-35,medium
48,0,MALE,base-jumping,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,0,2,missing,87300,1501-2000,41-45,medium
214,0,MALE,base-jumping,57700,-43500,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,1,0,YES,44220,501-1000,36-40,high
160,0,MALE,sleeping,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,1,YES,66780,0-500,36-40,high
169,0,MALE,exercise,0,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,YES,0,3,NO,46200,1501-2000,36-40,medium
118,0,FEMALE,camping,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,missing,74200,1501-2000,26-30,medium
37,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,21,3,NO,1,1,YES,76450,0-500,31-35,high
295,0,FEMALE,dancing,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,YES,1,1,NO,60700,0-500,46-50,high
45,0,MALE,dancing,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,YES,0,1,YES,52200,501-1000,36-40,medium
239,0,MALE,reading,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,NO,0,0,missing,5600,501-1000,41-45,low
117,0,FEMALE,yachting,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,missing,55440,0-500,26-30,medium
126,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,4,NO,0,1,missing,67800,0-500,26-30,high
146,0,FEMALE,golf,34500,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,NO,1,1,NO,55900,1501-2000,36-40,medium
211,4000000,FEMALE,skydiving,42200,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,YES,1,0,missing,53460,1501-2000,36-40,medium
284,0,FEMALE,exercise,47900,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,19,3,missing,0,0,missing,46860,0-500,46-50,low
254,0,FEMALE,board-games,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,NO,2,2,YES,100210,1501-2000,41-45,medium
222,0,MALE,hiking,0,-64500,Single Vehicle Collision,Front Collision,Total Loss,Police,20,1,missing,2,2,YES,60480,1501-2000,36-40,medium
426,0,FEMALE,reading,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,missing,100800,1501-2000,51-55,medium
60,3000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,0-500,21-25,medium
75,0,MALE,board-games,57900,-90100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,23,3,NO,0,2,YES,79560,501-1000,26-30,medium
275,0,MALE,board-games,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,missing,58300,1501-2000,41-45,high
142,0,MALE,polo,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,0,3,YES,63600,1501-2000,26-30,high
64,0,MALE,skydiving,56800,-51800,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9,3,NO,2,1,NO,60000,501-1000,26-30,medium
234,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,NO,1,0,NO,70200,0-500,41-45,high
236,0,FEMALE,paintball,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,NO,0,1,missing,66840,501-1000,36-40,low
145,0,FEMALE,sleeping,0,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,18,1,YES,2,0,NO,52250,501-1000,31-35,medium
108,0,MALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,NO,0,2,NO,57330,1501-2000,31-35,medium
171,0,FEMALE,yachting,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,missing,69200,1501-2000,31-35,medium
25,7000000,MALE,polo,40900,0,Vehicle Theft,missing,Trivial Damage,None,0,1,NO,1,1,YES,4320,501-1000,36-40,high
119,0,MALE,video-games,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,1,0,missing,63720,1501-2000,26-30,medium
216,0,FEMALE,reading,39600,-82400,Parked Car,missing,Minor Damage,Police,0,1,YES,2,3,missing,6160,501-1000,36-40,medium
156,0,MALE,reading,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,0-500,36-40,medium
80,0,MALE,skydiving,0,-51000,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,YES,1,3,missing,40810,0-500,26-30,low
285,0,FEMALE,sleeping,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,23,1,YES,2,3,missing,108480,501-1000,41-45,medium
362,0,FEMALE,base-jumping,44400,-71500,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,3,NO,0,3,NO,39690,501-1000,51-55,medium
141,0,MALE,bungie-jumping,0,-82100,Parked Car,missing,Minor Damage,None,6,1,missing,1,2,YES,6480,501-1000,26-30,medium
290,0,MALE,kayaking,32500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,0,1,NO,48000,0-500,41-45,low
41,0,MALE,sleeping,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,0,0,missing,8970,0-500,31-35,medium
48,0,FEMALE,golf,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,YES,0,2,NO,48400,0-500,31-35,medium
206,4000000,FEMALE,video-games,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,0-500,36-40,high
96,0,FEMALE,bungie-jumping,10000,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,9,1,YES,2,3,NO,78320,1501-2000,26-30,high
238,0,FEMALE,exercise,0,-39200,Vehicle Theft,missing,Minor Damage,Police,9,1,YES,1,3,YES,5500,1501-2000,36-40,medium
70,5000000,MALE,hiking,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,missing,1,2,YES,52110,501-1000,26-30,medium
174,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,0,1,YES,44200,1501-2000,31-35,medium
338,0,FEMALE,board-games,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,NO,2,3,missing,64100,1501-2000,46-50,medium
66,0,MALE,skydiving,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,missing,2,2,YES,57860,501-1000,26-30,low
91,4000000,FEMALE,polo,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,missing,1,0,NO,60570,501-1000,31-35,medium
225,5000000,FEMALE,yachting,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,2,2,NO,57600,501-1000,36-40,medium
464,0,FEMALE,basketball,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,missing,0,2,YES,79800,501-1000,61-65,medium
265,0,FEMALE,cross-fit,0,0,Vehicle Theft,missing,Trivial Damage,None,3,1,NO,2,3,NO,3190,0-500,41-45,low
413,0,MALE,chess,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,missing,2,2,missing,98160,1501-2000,51-55,medium
77,0,MALE,movies,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,12,3,YES,2,0,missing,69080,1501-2000,26-30,low
338,0,MALE,kayaking,0,-51500,Parked Car,missing,Minor Damage,None,13,1,NO,0,1,missing,4300,501-1000,46-50,medium
1,0,MALE,video-games,61200,0,Single Vehicle Collision,Side Collision,Total Loss,Other,23,1,YES,0,3,NO,69400,1501-2000,31-35,medium
32,0,MALE,sleeping,0,-45700,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,3,YES,2,0,NO,57970,0-500,26-30,medium
94,0,MALE,camping,50300,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,6,3,YES,1,2,YES,36700,0-500,26-30,low
239,5000000,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,NO,1,3,missing,61920,501-1000,36-40,medium
3,0,FEMALE,paintball,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,20,1,YES,0,1,missing,87200,501-1000,36-40,medium
290,0,FEMALE,cross-fit,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,2,2,NO,64800,0-500,41-45,medium
162,0,FEMALE,base-jumping,45700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,4,NO,2,1,NO,35300,0-500,31-35,low
322,0,FEMALE,kayaking,0,-46000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,missing,0,2,YES,42240,1501-2000,46-50,medium
192,0,FEMALE,yachting,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,501-1000,36-40,medium
