months_as_customer,policy_annual_premium,umbrella_limit,insured_sex,insured_hobbies,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,policy_deductable_groups,age_groups
292,1097.57,0,MALE,basketball,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,12,1,NO,1,0,YES,61700,0-500,41-45
169,936.19,0,MALE,movies,70600,-48500,Multi-vehicle Collision,Side Collision,Total Loss,Police,4,3,missing,2,1,YES,57900,501-1000,36-40
215,1632.93,0,FEMALE,golf,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,0-500,36-40
225,1103.58,0,MALE,exercise,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,missing,2,2,NO,70400,1501-2000,41-45
147,1054.92,6000000,FEMALE,exercise,51900,0,Single Vehicle Collision,Front Collision,Major Damage,Other,4,1,missing,0,0,missing,68240,0-500,31-35
254,1472.43,0,MALE,basketball,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,missing,1,3,YES,63580,1501-2000,46-50
453,1298.91,6000000,MALE,dancing,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,0,0,missing,70000,0-500,56-60
209,1191.5,0,MALE,reading,38600,-52900,Single Vehicle Collision,Rear Collision,Total Loss,Police,8,1,NO,2,0,missing,80100,0-500,36-40
184,1437.53,0,FEMALE,chess,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,missing,0,2,NO,53730,501-1000,36-40
186,922.85,0,MALE,golf,70300,-70900,Vehicle Theft,missing,Trivial Damage,None,7,1,missing,1,1,YES,3600,0-500,36-40
185,1421.59,0,MALE,sleeping,0,0,Vehicle Theft,missing,Trivial Damage,Police,8,1,missing,2,3,YES,4950,1501-2000,31-35
428,1496.44,0,FEMALE,camping,0,0,Parked Car,missing,Trivial Damage,Police,9,1,YES,2,2,NO,6930,501-1000,51-55
256,1203.17,0,FEMALE,golf,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,NO,0,0,missing,63250,0-500,41-45
213,871.46,0,MALE,movies,58500,-77700,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,YES,2,0,YES,74140,0-500,31-35
27,1442.99,0,FEMALE,golf,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,0-500,31-35
230,1023.11,0,FEMALE,golf,0,-45300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,13,3,NO,1,2,YES,58850,501-1000,41-45
439,1082.49,0,FEMALE,chess,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,missing,2,3,missing,56430,0-500,56-60
241,935.77,0,MALE,golf,0,-36000,Vehicle Theft,missing,Trivial Damage,Police,21,1,NO,1,0,YES,7150,501-1000,41-45
274,1353.53,0,FEMALE,cross-fit,54700,-47900,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,YES,0,0,NO,58500,501-1000,41-45
103,1537.33,0,FEMALE,board-games,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,11,3,YES,1,1,NO,77700,501-1000,26-30
284,769.95,0,MALE,movies,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,missing,2,3,NO,60940,1501-2000,46-50
377,1693.63,0,FEMALE,kayaking,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,0-500,51-55
136,1203.24,0,FEMALE,video-games,62500,-66900,Vehicle Theft,missing,Minor Damage,Police,9,1,missing,2,0,missing,6200,0-500,26-30
223,1235.1,0,FEMALE,exercise,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,0-500,41-45
206,1302.4,6000000,MALE,dancing,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300,501-1000,36-40
269,1422.21,0,FEMALE,polo,0,-46400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,21,1,YES,2,1,NO,85900,1501-2000,41-45
441,1270.29,4000000,MALE,exercise,24000,-50500,Parked Car,missing,Minor Damage,None,4,1,NO,0,0,NO,6400,0-500,51-55
245,1575.74,7000000,MALE,chess,0,-68900,Parked Car,missing,Minor Damage,Police,19,1,missing,2,2,missing,6490,501-1000,41-45
95,773.99,0,MALE,board-games,0,-70300,Vehicle Theft,missing,Trivial Damage,None,3,1,YES,1,2,NO,3200,501-1000,26-30
29,1722.5,0,MALE,base-jumping,0,-21500,Single Vehicle Collision,Side Collision,Major Damage,Other,22,1,missing,0,2,missing,76900,501-1000,31-35
136,855.14,0,FEMALE,paintball,37900,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,23,1,YES,0,1,YES,30700,501-1000,31-35
285,1594.45,0,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,501-1000,41-45
219,1281.07,7000000,FEMALE,board-games,0,0,Parked Car,missing,Trivial Damage,Police,6,1,NO,0,2,NO,5920,1501-2000,36-40
244,1267.81,5000000,FEMALE,video-games,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,missing,2,1,missing,6600,1501-2000,36-40
66,1472.77,0,MALE,exercise,0,-31700,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,missing,2,1,missing,48290,1501-2000,26-30
144,1255.68,6000000,FEMALE,reading,23600,-15600,Parked Car,missing,Minor Damage,None,7,1,NO,0,0,missing,7400,1501-2000,36-40
415,973.5,0,MALE,polo,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,15,2,YES,1,3,YES,51090,501-1000,51-55
342,1722.95,0,MALE,base-jumping,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,missing,2,0,YES,76700,0-500,46-50
177,1057.77,0,FEMALE,bungie-jumping,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,missing,1,1,NO,18000,1501-2000,31-35
222,1232.72,0,MALE,hiking,87800,-51200,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,missing,1,0,NO,87960,501-1000,36-40
310,1516.34,0,FEMALE,sleeping,11000,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,11,4,YES,0,2,NO,59400,0-500,46-50
179,1433.42,6000000,FEMALE,base-jumping,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,YES,1,2,NO,54200,501-1000,31-35
69,924.72,0,FEMALE,base-jumping,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,1501-2000,26-30
430,1326.62,7000000,MALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,0,3,YES,81800,1501-2000,56-60
122,1236.5,0,MALE,bungie-jumping,0,-48700,Parked Car,missing,Trivial Damage,None,1,1,NO,0,1,NO,5060,0-500,31-35
61,988.06,0,FEMALE,dancing,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,1,3,YES,1,0,NO,32320,1501-2000,21-25
169,1555.94,0,MALE,skydiving,23300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,NO,1,3,YES,79080,501-1000,36-40
256,1286.44,0,FEMALE,bungie-jumping,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,missing,75500,501-1000,41-45
30,1153.35,0,MALE,golf,0,0,Vehicle Theft,missing,Trivial Damage,Police,9,1,NO,2,1,YES,5760,1501-2000,31-35
362,1198.34,4000000,MALE,board-games,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,missing,1,1,NO,57060,0-500,46-50
479,1188.45,0,FEMALE,camping,0,-44800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,2,missing,0,3,missing,53900,501-1000,56-60
17,840.95,0,FEMALE,hiking,32500,-80800,Parked Car,missing,Trivial Damage,Police,9,1,missing,2,1,missing,3440,501-1000,36-40
435,1064.49,5000000,MALE,chess,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,23,1,NO,2,1,missing,62880,0-500,56-60
179,1246.68,0,FEMALE,movies,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,10,1,missing,0,1,missing,53100,1501-2000,31-35
172,1219.04,0,MALE,paintball,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,missing,2,0,NO,79750,1501-2000,31-35
80,1740.57,0,FEMALE,golf,0,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,3,1,missing,0,1,missing,33480,501-1000,26-30
234,951.56,0,FEMALE,video-games,59400,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,NO,2,1,missing,98280,0-500,41-45
270,1187.53,0,FEMALE,yachting,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,missing,0,0,YES,54340,0-500,41-45
472,989.24,0,MALE,skydiving,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900,0-500,61-65
337,1205.86,0,MALE,basketball,0,-34600,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,1,YES,0,1,NO,86400,0-500,51-55
267,1546.01,0,FEMALE,polo,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,NO,2,1,missing,77100,1501-2000,46-50
124,1301.72,0,MALE,golf,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,missing,0,3,YES,72000,0-500,26-30
289,1209.07,0,MALE,chess,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,YES,0,1,YES,56430,1501-2000,46-50
121,1140.91,0,MALE,paintball,51300,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,15,3,NO,1,2,missing,64300,501-1000,31-35
230,1101.83,0,MALE,cross-fit,28900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,missing,0,3,YES,51900,1501-2000,41-45
355,1273.7,4000000,MALE,kayaking,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,1501-2000,46-50
220,1281.72,0,MALE,hiking,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,20,4,NO,0,2,YES,47740,501-1000,41-45
106,1609.11,0,MALE,polo,0,0,Vehicle Theft,missing,Minor Damage,Police,8,1,YES,2,1,YES,5490,1501-2000,26-30
196,1475.73,0,FEMALE,camping,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,missing,2,0,NO,60400,1501-2000,36-40
289,1102.29,0,FEMALE,hiking,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,NO,1,0,YES,54000,1501-2000,46-50
299,1437.33,0,FEMALE,movies,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,1501-2000,41-45
252,1066.7,0,FEMALE,sleeping,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,22,3,NO,0,2,NO,89520,1501-2000,46-50
4,1381.88,5000000,MALE,exercise,0,-77800,Vehicle Theft,missing,Trivial Damage,Police,4,1,NO,0,2,missing,4200,0-500,26-30
151,1366.42,0,FEMALE,cross-fit,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,0-500,36-40
370,1389.13,7000000,MALE,basketball,0,-53200,Vehicle Theft,missing,Minor Damage,None,6,1,missing,0,2,missing,9000,1501-2000,51-55
264,1181.46,10000000,FEMALE,sleeping,0,-67400,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,YES,1,2,YES,62370,1501-2000,46-50
197,1324.78,0,FEMALE,basketball,0,-64500,Single Vehicle Collision,Front Collision,Major Damage,Police,6,1,NO,2,2,YES,76400,501-1000,41-45
175,915.29,0,FEMALE,base-jumping,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,missing,2,1,YES,36720,0-500,31-35
229,1212.12,0,FEMALE,paintball,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,YES,1,1,YES,68760,1501-2000,36-40
261,1254.18,0,FEMALE,kayaking,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,missing,62590,501-1000,41-45
142,1307.68,0,FEMALE,dancing,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,YES,1,2,NO,54360,1501-2000,26-30
154,795.23,0,MALE,base-jumping,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,missing,69480,0-500,31-35
253,1312.75,0,FEMALE,dancing,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,2,2,YES,80740,1501-2000,41-45
215,1125.4,0,MALE,yachting,40000,-43400,Vehicle Theft,missing,Trivial Damage,None,6,1,missing,2,1,NO,2640,501-1000,31-35
48,1400.74,0,MALE,base-jumping,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,0,2,missing,87300,1501-2000,41-45
214,1648.0,0,MALE,base-jumping,57700,-43500,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,NO,1,0,YES,44220,501-1000,36-40
160,1733.56,0,MALE,sleeping,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,1,YES,66780,0-500,36-40
169,1140.15,0,MALE,exercise,0,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,9,3,YES,0,3,NO,46200,1501-2000,36-40
118,1207.36,0,FEMALE,camping,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,missing,74200,1501-2000,26-30
37,1969.63,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,21,3,NO,1,1,YES,76450,0-500,31-35
295,1672.88,0,FEMALE,dancing,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,YES,1,1,NO,60700,0-500,46-50
45,1114.23,0,MALE,dancing,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,YES,0,1,YES,52200,501-1000,36-40
239,969.5,0,MALE,reading,0,0,Vehicle Theft,missing,Trivial Damage,None,10,1,NO,0,0,missing,5600,501-1000,41-45
117,1264.77,0,FEMALE,yachting,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,missing,55440,0-500,26-30
126,1508.9,0,FEMALE,skydiving,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,4,NO,0,1,missing,67800,0-500,26-30
146,1233.96,0,FEMALE,golf,34500,-60600,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,3,NO,1,1,NO,55900,1501-2000,36-40
211,1295.63,4000000,FEMALE,skydiving,42200,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,YES,1,0,missing,53460,1501-2000,36-40
284,958.3,0,FEMALE,exercise,47900,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,19,3,missing,0,0,missing,46860,0-500,46-50
254,1241.04,0,FEMALE,board-games,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,NO,2,2,YES,100210,1501-2000,41-45
222,1157.97,0,MALE,hiking,0,-64500,Single Vehicle Collision,Front Collision,Total Loss,Police,20,1,missing,2,2,YES,60480,1501-2000,36-40
426,1097.71,0,FEMALE,reading,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,missing,100800,1501-2000,51-55
60,1215.36,3000000,MALE,reading,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,0-500,21-25
75,1202.75,0,MALE,board-games,57900,-90100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,23,3,NO,0,2,YES,79560,501-1000,26-30
275,1514.72,0,MALE,board-games,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,missing,58300,1501-2000,41-45
142,1616.58,0,MALE,polo,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,0,3,YES,63600,1501-2000,26-30
64,1468.82,0,MALE,skydiving,56800,-51800,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,9,3,NO,2,1,NO,60000,501-1000,26-30
234,1780.67,0,MALE,exercise,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,NO,1,0,NO,70200,0-500,41-45
236,802.24,0,FEMALE,paintball,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,NO,0,1,missing,66840,501-1000,36-40
145,1142.48,0,FEMALE,sleeping,0,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,18,1,YES,2,0,NO,52250,501-1000,31-35
108,1175.7,0,MALE,yachting,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,NO,0,2,NO,57330,1501-2000,31-35
171,1277.25,0,FEMALE,yachting,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,missing,69200,1501-2000,31-35
25,1540.91,7000000,MALE,polo,40900,0,Vehicle Theft,missing,Trivial Damage,None,0,1,NO,1,1,YES,4320,501-1000,36-40
119,1097.64,0,MALE,video-games,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,1,0,missing,63720,1501-2000,26-30
216,1152.4,0,FEMALE,reading,39600,-82400,Parked Car,missing,Minor Damage,Police,0,1,YES,2,3,missing,6160,501-1000,36-40
156,1080.13,0,MALE,reading,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,0-500,36-40
80,795.31,0,MALE,skydiving,0,-51000,Multi-vehicle Collision,Rear Collision,Major Damage,Police,16,3,YES,1,3,missing,40810,0-500,26-30
285,1436.79,0,FEMALE,sleeping,70900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,23,1,YES,2,3,missing,108480,501-1000,41-45
362,1097.99,0,FEMALE,base-jumping,44400,-71500,Multi-vehicle Collision,Rear Collision,Total Loss,Police,0,3,NO,0,3,NO,39690,501-1000,51-55
141,1347.04,0,MALE,bungie-jumping,0,-82100,Parked Car,missing,Minor Damage,None,6,1,missing,1,2,YES,6480,501-1000,26-30
290,989.97,0,MALE,kayaking,32500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,0,1,NO,48000,0-500,41-45
41,1294.41,0,MALE,sleeping,0,0,Vehicle Theft,missing,Minor Damage,None,8,1,YES,0,0,missing,8970,0-500,31-35
48,1090.03,0,FEMALE,golf,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,YES,0,2,NO,48400,0-500,31-35
206,1625.45,4000000,FEMALE,video-games,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,0-500,36-40
96,1509.04,0,FEMALE,bungie-jumping,10000,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,9,1,YES,2,3,NO,78320,1501-2000,26-30
238,1488.02,0,FEMALE,exercise,0,-39200,Vehicle Theft,missing,Minor Damage,Police,9,1,YES,1,3,YES,5500,1501-2000,36-40
70,1199.44,5000000,MALE,hiking,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,missing,1,2,YES,52110,501-1000,26-30
174,1124.43,0,FEMALE,paintball,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,0,1,YES,44200,1501-2000,31-35
338,1486.04,0,FEMALE,board-games,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,1,3,NO,2,3,missing,64100,1501-2000,46-50
66,988.29,0,MALE,skydiving,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,missing,2,2,YES,57860,501-1000,26-30
91,1338.4,4000000,FEMALE,polo,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,missing,1,0,NO,60570,501-1000,31-35
225,1217.84,5000000,FEMALE,yachting,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,missing,2,2,NO,57600,501-1000,36-40
464,1125.37,0,FEMALE,basketball,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,missing,0,2,YES,79800,501-1000,61-65
265,972.5,0,FEMALE,cross-fit,0,0,Vehicle Theft,missing,Trivial Damage,None,3,1,NO,2,3,NO,3190,0-500,41-45
413,1268.79,0,MALE,chess,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,missing,2,2,missing,98160,1501-2000,51-55
77,785.82,0,MALE,movies,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,12,3,YES,2,0,missing,69080,1501-2000,26-30
338,1279.08,0,MALE,kayaking,0,-51500,Parked Car,missing,Minor Damage,None,13,1,NO,0,1,missing,4300,501-1000,46-50
1,1391.63,0,MALE,video-games,61200,0,Single Vehicle Collision,Side Collision,Total Loss,Other,23,1,YES,0,3,NO,69400,1501-2000,31-35
32,1446.98,0,MALE,sleeping,0,-45700,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,11,3,YES,2,0,NO,57970,0-500,26-30
94,722.66,0,MALE,camping,50300,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,6,3,YES,1,2,YES,36700,0-500,26-30
239,1276.73,5000000,FEMALE,bungie-jumping,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,12,3,NO,1,3,missing,61920,501-1000,36-40
